Name,Price,Warranty,Brand,Purpose,Color,gen,CPU,Number of cores,Clock,Cache,OS,Ram,Max Ram,Display Size,Touchable,Display Res,Integrated Graphics,AddGraphics,VGA Memory,HDD,SSD,Optical Disk,Number Keys,LED,USB Ports,HDMI Ports,LANPorts,VGAPorts,Weight,Cells pin,VR support
Máy xách tay/ Laptop Asus X510UQ-BR748T (I5-8250U) (??ng),14.290.000 ?,24,Asus,Multimedia,Vàng,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,16GB,"15.6""",Không,1366 x 768,Intel HD Graphics,NVIDIA GeForce 940MX,2GB,1TB,Không có,Không,Không,Không có,4,1,Không,Không,1.5kg,3,Không
Máy xách tay/ Laptop Asus UX430UA-GV340T (I5-8250U) (Xám),21.290.000 ?,24,Asus,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,Đang cập nhật,"14.0""",Không,1920 x 1080,Intel UHD Graphics 620,Không có,Không,Không có,256GB,Không,Không,Không có,3,1,Không,Không,1.25kg,3,Không
Máy xách tay/ Laptop Asus X441UA-WX027 (I3-6100U) (Đen),9.290.000 ?,24,Asus,Office,Đen,Intel Core i3 6th Gen,i3-6100U,2,2.6 GHz,3MB,Free DOS,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 520,Không có,Không,1TB,Không có,Có,Không,Không có,3,1,Có,Có,2kg,3,Không
Máy xách tay/ Laptop Dell Vostro 3468 (F3468-70088614) (Đen),12.390.000 ?,12,Dell,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,"14.0""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Không,Không có,3,1,Có,Có,1.94kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 14 3467-M20NR1 (I3-6006U) (Đen),10.090.000 ?,12,Dell,Multimedia,Đen,Intel Core i3 6th Gen,i3-6006U,2,2.0 GHz,3MB,Free DOS,4GB,16GB,"14.0""",Không,1366 x 768,Intel HD Graphics 520,Không có,Không,1TB,Không có,Có,Không,Không có,3,1,Có,Không,1.81kg,4,Không
Máy xách tay/ Laptop Dell Vostro 3568-XF6C61 (Đen),12.990.000 ?,12,Dell,Multimedia,Đen,Intel Core i5 7th Gen,i5-7200U,2,2.5 GHz,3MB,Free DOS,4GB,Đang cập nhật,"15.6""",Không,1366 x 768,Intel HD Graphics 620,Không có,Không,1TB,Không có,Có,Có,Không có,4,1,Có,Có,2.18kg,4,Không
Máy xách tay/ Laptop Asus GL703VD-EE057T (I7-7700HQ),27.490.000 ?,24,Asus,Gaming,Đen,Intel Core i7 7th Gen,i7-7700HQ,4,2.8 GHz,6MB,Windows 10,8GB,32GB,"17.3""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA Geforce GTX 1050,4GB,1TB,Không có,Không,Có,RGB,4,1,Có,Không,2.93kg,4,Không
Máy xách tay/ Laptop Asus FX503VD-E4119T (I7-7700HQ) (Đen),24.190.000 ?,24,Asus,Gaming,Đen,Intel Core i7 7th Gen,i7-7700HQ,4,2.8 GHz,6MB,Windows 10,8GB,32GB,"15.6""",Không,1920 x 1080,Intel HD Graphics 630,NVIDIA Geforce GTX 1050,4GB,1TB,Không có,Không,Có,Đơn sắc,3,1,Có,Không,2.3kg,4,Không
Máy xách tay/ Laptop Dell Inspiron 13 5379-JYN0N1 (Xám),21.990.000 ?,12,Dell,Multimedia,Xám,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,8GB,Đang cập nhật,"13.3""",Có,1920 x 1080,Intel HD Graphics 620,Không có,Không,1TB,Không có,Không,Không,Không có,3,1,Không,Không,1.78kg,3,Không
Máy xách tay/ Laptop Dell Inspiron 15 7570-N5I5102OW (Bạc),21.990.000 ?,12,Dell,Multimedia,Bạc,Intel Core i5 8th Gen,i5-8250U,4,1.6 GHz,6MB,Windows 10,4GB,Đang cập nhật,"15.6""",Không,1920 x 1080,Intel HD Graphics,NVIDIA GeForce 940MX,2GB,1TB,128GB,Không,Không,Không có,4,1,Không,Không,2.16kg,3,Không
