,Price,Brand,Purpose,Color,gen,CPU,Number of cores,Clock,Cache,OS,Ram,Display Size,Touchable,AddGraphics,VGA Memory,HDD,SSD,Optical Disk,Number Keys,LED,USB Ports,HDMI Ports,LANPorts,VGAPorts,Weight,Cells pin,displayWidth,displayHeight
0,14290000,2,1,3,15,19,4,1.6,6,3,4,15.6,1,13,2,1000,0,1,1,0,4,1,1,1,1.5,3,768.0,1366.0
1,21290000,2,1,5,15,19,4,1.6,6,3,8,14.0,1,7,0,0,256,1,1,0,3,1,1,1,1.25,3,1080.0,1920.0
2,9290000,2,2,6,8,8,2,2.6,3,3,4,14.0,1,7,0,1000,0,0,1,0,3,1,0,0,2.0,3,768.0,1366.0
3,12390000,3,1,6,14,15,2,2.5,3,3,4,14.0,1,7,0,1000,0,0,1,0,3,1,0,0,1.94,4,768.0,1366.0
4,10090000,3,1,6,8,7,2,2.0,3,3,4,14.0,1,7,0,1000,0,0,1,0,3,1,0,1,1.81,4,768.0,1366.0
5,12990000,3,1,6,14,15,2,2.5,3,3,4,15.6,1,7,0,1000,0,0,0,0,4,1,0,0,2.18,4,768.0,1366.0
6,27490000,2,0,6,17,26,4,2.8,6,3,8,17.3,1,17,4,1000,0,1,0,2,4,1,0,1,2.93,4,1080.0,1920.0
7,24190000,2,0,6,17,26,4,2.8,6,3,8,15.6,1,17,4,1000,0,1,0,3,3,1,0,1,2.3,4,1080.0,1920.0
8,21990000,3,1,5,15,19,4,1.6,6,3,8,13.3,0,7,0,1000,0,1,1,0,3,1,1,1,1.78,3,1080.0,1920.0
9,21990000,3,1,0,15,19,4,1.6,6,3,4,15.6,1,13,2,1000,128,1,1,0,4,1,1,1,2.16,3,1080.0,1920.0
10,10690000,3,1,6,8,7,2,2.0,3,3,4,15.6,1,25,2,1000,0,1,0,0,3,1,0,1,2.1,4,768.0,1360.0
11,23190000,3,1,0,18,29,4,1.8,6,3,8,15.6,1,1,4,2000,0,0,0,3,4,1,0,1,2.12,3,1080.0,1920.0
12,13690000,3,1,6,14,15,2,2.5,3,3,4,15.6,1,6,2,1000,0,0,0,0,2,1,0,1,2.18,4,768.0,1366.0
13,24690000,0,0,6,17,26,4,2.8,6,3,8,15.6,1,18,4,1000,128,1,0,3,4,1,0,1,2.45,4,1080.0,1920.0
14,8690000,0,1,5,8,7,2,2.0,3,3,4,14.0,1,7,0,500,0,1,0,0,3,1,0,0,2.1,4,768.0,1366.0
15,16790000,2,1,3,18,29,4,1.8,8,3,4,15.6,1,13,2,1000,0,0,0,0,3,1,0,0,2.15,2,768.0,1366.0
16,16590000,3,1,3,14,15,2,2.5,3,3,4,15.6,1,12,2,1000,0,1,0,0,4,1,0,0,2.0,3,768.0,1366.0
17,13590000,2,1,5,15,19,4,1.6,6,3,4,15.6,1,13,2,1000,0,1,1,0,4,1,0,1,1.7,3,768.0,1366.0
18,10490000,3,1,6,9,9,2,2.4,3,3,4,14.0,1,7,0,1000,0,0,1,0,3,1,0,1,1.81,4,768.0,1366.0
19,15590000,3,1,3,14,15,2,2.5,3,3,4,15.6,1,7,0,1000,0,1,0,0,4,1,0,0,2.3,3,768.0,1366.0
20,15199000,0,1,6,15,19,4,1.6,6,3,4,15.6,1,23,2,1000,0,1,0,0,4,1,0,1,2.2,4,1080.0,1920.0
21,12990000,2,1,3,15,19,4,1.6,6,3,4,15.6,1,7,0,1000,0,1,1,0,4,1,1,1,1.7,3,768.0,1366.0
22,17290000,3,1,0,15,19,4,1.6,6,3,4,14.0,1,7,0,1000,0,1,1,0,3,1,0,1,1.66,3,1080.0,1920.0
23,21490000,5,1,0,18,29,4,1.8,8,3,8,13.3,1,7,0,1000,0,1,1,0,3,1,0,1,1.6,3,1080.0,1920.0
24,12490000,6,1,3,9,9,2,2.4,3,3,4,14.0,1,7,0,1000,0,1,1,0,3,1,1,1,1.8,3,768.0,1366.0
25,16990000,0,1,5,18,29,4,1.8,8,3,4,15.6,1,23,2,1000,0,1,0,0,4,1,0,1,2.19,4,1080.0,1920.0
26,12490000,5,1,0,9,9,2,2.4,3,3,4,14.0,1,7,0,500,0,1,1,0,3,1,1,1,1.7,3,768.0,1366.0
27,10990000,3,1,6,8,7,2,2.0,3,3,4,14.0,1,7,0,1000,0,0,1,0,3,1,0,1,1.81,4,768.0,1366.0
28,12090000,3,1,6,9,9,2,2.4,3,3,6,15.6,1,7,0,1000,0,0,0,0,2,1,0,1,2.0,3,768.0,1366.0
29,11490000,3,1,6,8,7,2,2.0,3,3,4,15.6,1,7,0,1000,0,0,0,0,3,1,0,1,2.0,4,768.0,1366.0
30,21190000,2,1,3,15,19,4,1.6,6,3,8,14.0,1,7,0,0,256,1,1,0,3,1,1,1,1.25,3,1080.0,1920.0
31,5990000,0,1,6,3,33,2,1.1,2,3,2,14.0,1,7,0,500,0,1,1,0,3,1,0,1,1.35,4,768.0,1366.0
32,8499000,0,1,5,8,7,2,2.0,3,3,4,15.6,1,7,0,500,0,0,0,0,4,1,0,1,2.2,4,1080.0,1920.0
33,13489000,0,1,6,9,10,2,2.7,3,3,4,14.0,0,7,0,1000,0,1,1,0,3,1,0,1,1.7,3,1080.0,1920.0
34,13299000,0,1,5,15,19,4,1.6,6,3,4,15.6,1,23,2,1000,0,0,0,0,3,1,0,1,2.2,4,1080.0,1920.0
35,14990000,3,1,0,9,10,2,2.7,3,3,4,13.3,1,7,0,0,128,1,0,0,3,1,1,1,1.4,3,1080.0,1920.0
36,18090000,5,1,0,17,23,2,2.7,4,3,4,13.3,1,7,0,0,256,1,1,0,3,1,0,0,1.5,4,768.0,1366.0
37,19490000,5,1,3,17,23,2,2.7,4,3,4,14.0,1,7,0,500,0,1,1,0,3,1,1,1,1.63,3,1080.0,1920.0
38,19490000,0,1,6,14,16,4,2.5,6,3,8,15.6,1,17,2,1000,0,1,0,0,4,1,0,1,2.4,4,1080.0,1920.0
39,13990000,6,1,6,14,15,2,2.5,3,3,4,15.6,1,7,0,500,0,0,0,0,3,1,0,1,2.2,3,768.0,1366.0
