;smartphonename;price;ram;rom;displaysize;provider;os;cpubrand;camrearpixel;camrearcount;camfrontpixel;camfrontcount;numcpu1;numcpu2;clockcpu1;clockcpu2;displayWidth;displayHeight;brandnew;isPortable
0;13;15.99;4;64;5.8;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.3;1.7;1440.0;2960.0;1.0;1.0
1;0;34.79;3;256;5.8;0;1;1.0;12;1.0;7;1.0;6.0;0.0;2.39;0.0;1125.0;2436.0;1.0;1.0
2;0;34.79;3;256;5.8;0;1;1.0;12;1.0;7;1.0;6.0;0.0;2.39;0.0;1125.0;2436.0;1.0;1.0
3;0;29.99;3;64;5.8;0;1;1.0;12;1.0;7;1.0;6.0;0.0;2.39;0.0;1125.0;2436.0;1.0;1.0
4;0;29.99;3;64;5.8;0;1;1.0;12;1.0;7;1.0;6.0;0.0;2.39;0.0;1125.0;2436.0;1.0;1.0
5;0;28.79;3;256;5.5;0;1;1.0;12;1.0;7;1.0;2.0;4.0;2.1;2.1;1080.0;1920.0;1.0;1.0
6;0;25.79;2;256;4.7;0;1;1.0;12;1.0;7;1.0;2.0;4.0;2.1;2.1;750.0;1334.0;1.0;1.0
7;13;24.49;6;128;6.2;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.8;1.7;1440.0;2960.0;1.0;1.0
8;13;24.49;6;128;6.2;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.8;1.7;1440.0;2960.0;1.0;1.0
9;0;23.99;3;64;5.5;0;1;1.0;12;1.0;7;1.0;2.0;4.0;2.1;2.1;1080.0;1920.0;1.0;1.0
10;0;23.99;3;64;5.5;0;1;1.0;12;1.0;7;1.0;2.0;4.0;2.1;2.1;1080.0;1920.0;1.0;1.0
11;13;23.49;6;64;6.2;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.8;1.7;1440.0;2960.0;1.0;1.0
12;13;23.49;6;64;6.2;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.8;1.7;1440.0;2960.0;1.0;1.0
13;0;22.99;3;128;5.5;0;1;1.0;12;1.0;7;1.0;4.0;0.0;2.3;0.0;1080.0;1920.0;1.0;1.0
14;13;22.49;6;64;6.3;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.3;1.7;1440.0;2960.0;1.0;1.0
15;0;20.99;2;64;4.7;0;1;1.0;12;1.0;7;1.0;2.0;4.0;2.1;2.1;750.0;1334.0;1.0;1.0
16;0;20.99;2;64;4.7;0;1;1.0;12;1.0;7;1.0;2.0;4.0;2.1;2.1;750.0;1334.0;1.0;1.0
17;0;19.99;3;32;5.5;0;1;1.0;12;1.0;7;1.0;4.0;0.0;2.3;0.0;1080.0;1920.0;1.0;1.0
18;5;19.99;6;128;6.1;0;0;2.0;40;3.0;24;1.0;4.0;4.0;2.4;1.8;1080.0;2244.0;1.0;1.0
19;13;19.99;4;64;5.8;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.8;1.7;1440.0;2960.0;1.0;1.0
20;14;19.99;4;64;5.7;0;0;3.0;19;1.0;5;1.0;4.0;4.0;2.8;1.8;1080.0;2160.0;1.0;1.0
21;13;17.99;4;64;6.2;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.3;1.7;1440.0;2960.0;1.0;1.0
22;0;15.99;2;32;4.7;0;1;1.0;12;1.0;7;1.0;4.0;0.0;2.3;0.0;750.0;1334.0;1.0;1.0
23;13;15.99;4;64;5.8;0;0;0.0;12;1.0;8;1.0;4.0;4.0;2.3;1.7;1440.0;2960.0;1.0;1.0
24;13;13.49;6;64;6;0;0;0.0;16;1.0;16;2.0;2.0;6.0;2.2;1.6;1080.0;2220.0;1.0;1.0
25;0;12.99;2;32;5.5;0;1;1.0;12;1.0;5;1.0;2.0;0.0;1.8;0.0;1080.0;1920.0;1.0;1.0
26;0;12.49;2;32;4.7;0;1;1.0;12;1.0;5;1.0;2.0;0.0;1.8;0.0;750.0;1334.0;1.0;1.0
27;14;11.99;4;64;5.2;0;0;3.0;19;1.0;13;1.0;4.0;4.0;2.45;1.9;1080.0;1920.0;1.0;1.0
28;13;10.99;4;32;5.6;0;0;0.0;16;1.0;16;2.0;2.0;6.0;2.2;1.6;1080.0;2220.0;1.0;1.0
29;11;9.99;6;128;6.23;0;0;5.0;16;1.0;25;1.0;8.0;0.0;2.0;0.0;1080.0;2280.0;1.0;1.0
30;14;9.99;3;64;5.2;0;0;3.0;23;1.0;13;1.0;2.0;2.0;2.15;1.6;1080.0;1920.0;1.0;1.0
31;2;9.79;3;32;5.5;0;0;3.0;16;1.0;8;1.0;8.0;0.0;2.0;0.0;1080.0;1920.0;1.0;1.0
32;13;8.99;4;32;6;0;0;3.0;16;2.0;24;1.0;8.0;0.0;1.8;0.0;1080.0;2220.0;1.0;1.0
33;10;8.99;4;64;6;0;0;3.0;12;2.0;16;1.0;4.0;4.0;2.2;1.8;1080.0;2160.0;1.0;1.0
34;13;8.99;6;64;6.0;0;0;3.0;16;1.0;16;1.0;4.0;4.0;1.95;1.4;1080.0;1920.0;1.0;1.0
36;11;7.99;4;64;6.23;0;0;5.0;16;1.0;25;1.0;8.0;0.0;2.0;0.0;1080.0;2280.0;1.0;1.0
37;15;7.99;4;64;6.3;0;0;3.0;16;2.0;24;1.0;8.0;0.0;2.2;0.0;1080.0;2280.0;1.0;1.0
38;15;7.99;4;64;6.3;0;0;3.0;16;2.0;24;1.0;8.0;0.0;2.2;0.0;1080.0;2280.0;1.0;1.0
