idinfo;smartphonename;price;ram;rom;cpu;cameranumber;camera;selfie;battery;displaysize;ref;cpuclock;displayres;provider;os
1;"Samsung Galaxy S8";15990000;"4 GB";"64 GB";"Exynos 8895 8 nhân 64-bit";2;"12 MP";"8 MP";"3000 mAh";"5.8";https://www.thegioididong.com/dtdd/samsung-galaxy-s8;"4 nhân 2.3 GHz và 4 nhân 1.7 GHz";"2K+ (1440 x 2960 Pixels)";TGDD;"Android Nougat"
2;"iPhone X 256GB Sliver";34790000;"3 GB";"256 GB";"Apple A11 Bionic 6 nhân";3;"2 camera 12 MP";"7 MP";"2716 mAh";"5.8";https://www.thegioididong.com/dtdd/iphone-x-256gb;"2.39 GHz";"1125 x 2436 Pixels";TGDD;iOS
3;"iPhone X 256GB Gray";34790000;"3 GB";"256 GB";"Apple A11 Bionic 6 nhân";3;"2 camera 12 MP";"7 MP";"2716 mAh";"5.8";https://www.thegioididong.com/dtdd/iphone-x-256gb-gray;"2.39 GHz";"1125 x 2436 Pixels";TGDD;iOS
4;"iPhone X 64GB Silver";29990000;"3 GB";"64 GB";"Apple A11 Bionic 6 nhân";3;"2 camera 12 MP";"7 MP";"2716 mAh";"5.8";https://www.thegioididong.com/dtdd/iphone-x-64gb;"2.39 GHz";"1125 x 2436 Pixels";TGDD;iOS
5;"iPhone X 64GB Gray";29990000;"3 GB";"64 GB";"Apple A11 Bionic 6 nhân";3;"2 camera 12 MP";"7 MP";"2716 mAh";"5.8";https://www.thegioididong.com/dtdd/iphone-x-64gb-gray;"2.39 GHz";"1125 x 2436 Pixels";TGDD;iOS
6;"iPhone 8 Plus Red 256GB (Đỏ)";28790000;"3 GB";"256 GB";"Apple A11 Bionic 6 nhân";3;"2 camera 12 MP";"7 MP";"2691 mAh";"5.5";https://www.thegioididong.com/dtdd/iphone-8-plus-do-256gb;"2 nhân 2.1 GHz Monsoon và 4 nhân 2.1 GHz Mistral";"Full HD (1080 x 1920 pixels)";TGDD;iOS
7;"iPhone 8 256GB";25790000;"2 GB";"256 GB";"Apple A11 Bionic 6 nhân";2;"12 MP";"7 MP";"1821 mAh";"4.7";https://www.thegioididong.com/dtdd/iphone-8-256gb;"2 nhân 2.1 GHz Monsoon và 4 nhân 2.1 GHz Mistral";"HD (1334 x 750 Pixels)";TGDD;iOS
8;"Samsung Galaxy S9+ 128GB Hoàng Kim";24490000;"6 GB";"128 GB";"Exynos 9810 8 nhân 64 bit";3;"2 camera 12 MP";"8 MP";"3500 mAh";"6.2";https://www.thegioididong.com/dtdd/samsung-galaxy-s9-plus-128gb-vang-dong;"4 nhân 2.8 GHz & 4 nhân 1.7 GHz";"2K+ (1440 x 2960 Pixels)";TGDD;"Android Oreo"
9;"Samsung Galaxy S9+ 128GB";24490000;"6 GB";"128 GB";"Exynos 9810 8 nhân 64 bit";3;"2 camera 12 MP";"8 MP";"3500 mAh";"6.2";https://www.thegioididong.com/dtdd/samsung-galaxy-s9-plus-128gb;"4 nhân 2.8 GHz & 4 nhân 1.7 GHz";"2K+ (1440 x 2960 Pixels)";TGDD;"Android Oreo"
10;"iPhone 8 Plus 64GB";23990000;"3 GB";"64 GB";"Apple A11 Bionic 6 nhân";3;"2 camera 12 MP";"7 MP";"2691 mAh";"5.5";https://www.thegioididong.com/dtdd/iphone-8-plus;"2 nhân 2.1 GHz Monsoon và 4 nhân 2.1 GHz Mistral";"Full HD (1080 x 1920 pixels)";TGDD;iOS
11;"iPhone 8 Plus Red 64GB (Đỏ)";23990000;"3 GB";"64 GB";"Apple A11 Bionic 6 nhân";3;"2 camera 12 MP";"7 MP";"2691 mAh";"5.5";https://www.thegioididong.com/dtdd/iphone-8-plus-do;"2 nhân 2.1 GHz Monsoon và 4 nhân 2.1 GHz Mistral";"Full HD (1080 x 1920 pixels)";TGDD;iOS
12;"Samsung Galaxy S9+ 64GB";23490000;"6 GB";"64 GB";"Exynos 9810 8 nhân 64 bit";3;"2 camera 12 MP";"8 MP";"3500 mAh";"6.2";https://www.thegioididong.com/dtdd/samsung-galaxy-s9-plus;"4 nhân 2.8 GHz & 4 nhân 1.7 GHz";"2K+ (1440 x 2960 Pixels)";TGDD;"Android Oreo"
13;"Samsung Galaxy S9+ 64GB (Xanh san hô)";23490000;"6 GB";"64 GB";"Exynos 9810 8 nhân 64 bit";3;"2 camera 12 MP";"8 MP";"3500 mAh";"6.2";https://www.thegioididong.com/dtdd/samsung-galaxy-s9-plus-64gb-xanh-san-ho;"4 nhân 2.8 GHz & 4 nhân 1.7 GHz";"2K+ (1440 x 2960 Pixels)";TGDD;"Android Oreo"
14;"iPhone 7 Plus 128GB";22990000;"3 GB";"128 GB";"Apple A10 Fusion 4 nhân 64-bit";3;"2 camera 12 MP";"7 MP";"2900 mAh";"5.5";https://www.thegioididong.com/dtdd/iphone-7-plus-128gb;"2.3 GHz";"Full HD (1080 x 1920 pixels)";TGDD;iOS
15;"Samsung Galaxy Note 8";22490000;"6 GB";"64 GB";"Exynos 8895 8 nhân 64-bit";3;"2 camera 12 MP";"8 MP";"3300 mAh";"6.3";https://www.thegioididong.com/dtdd/samsung-galaxy-note8;"4 nhân 2.3 GHz và 4 nhân 1.7 GHz";"2K+ (1440 x 2960 Pixels)";TGDD;"Android Nougat"
16;"iPhone 8 64GB";20990000;"2 GB";"64 GB";"Apple A11 Bionic 6 nhân";2;"12 MP";"7 MP";"1821 mAh";"4.7";https://www.thegioididong.com/dtdd/iphone-8-64gb;"2 nhân 2.1 GHz Monsoon và 4 nhân 2.1 GHz Mistral";"HD (1334 x 750 Pixels)";TGDD;iOS
17;"iPhone 8 Red 64GB (Đỏ)";20990000;"2 GB";"64 GB";"Apple A11 Bionic 6 nhân";2;"12 MP";"7 MP";"1821 mAh";"4.7";https://www.thegioididong.com/dtdd/iphone-8-do;"2 nhân 2.1 GHz Monsoon và 4 nhân 2.1 GHz Mistral";"HD (1334 x 750 Pixels)";TGDD;iOS
18;"iPhone 7 Plus 32GB";19990000;"3 GB";"32 GB";"Apple A10 Fusion 4 nhân 64-bit";3;"2 camera 12 MP";"7 MP";"2900 mAh";"5.5";https://www.thegioididong.com/dtdd/iphone-7-plus;"2.3 GHz";"Full HD (1080 x 1920 pixels)";TGDD;iOS
